dia,receita,receita_acumulada,pedidos_meta,pedidos_acumulado
2025-08-01,68709.97,68709.97,35,35
2025-08-02,0.00,68709.97,0,35
2025-08-03,0.00,68709.97,0,35
2025-08-04,68709.97,137419.94,35,70
2025-08-05,68709.97,206129.91,35,105
2025-08-06,68709.97,274839.88,35,140
2025-08-07,68709.97,343549.85,35,175
2025-08-08,68709.97,412259.82,35,210
2025-08-09,0.00,412259.82,0,210
2025-08-10,0.00,412259.82,0,210
2025-08-11,68709.97,480969.79,35,245
2025-08-12,68709.97,549679.76,35,280
2025-08-13,68709.97,618389.73,35,315
2025-08-14,68709.97,687099.70,35,350
2025-08-15,68709.97,755809.67,35,385
2025-08-16,0.00,755809.67,0,385
2025-08-17,0.00,755809.67,0,385
2025-08-18,68709.97,824519.64,35,420
2025-08-19,68709.97,893229.61,35,455
2025-08-20,68709.97,961939.58,35,490
2025-08-21,68709.97,1030649.55,35,525
2025-08-22,68709.97,1099359.52,35,560
2025-08-23,0.00,1099359.52,0,560
2025-08-24,0.00,1099359.52,0,560
2025-08-25,68709.97,1168069.49,35,595
2025-08-26,68709.97,1236779.46,35,630
2025-08-27,68709.97,1305489.43,35,665
2025-08-28,68709.97,1374199.40,35,700
2025-08-29,68709.97,1442909.37,35,735
2025-08-30,0.00,1442909.37,0,735
2025-08-31,0.00,1442909.37,0,735
